Time,Set_Voltage_V,Measured_Voltage_V,Current_A,Power_W,Temperature_C,Supply_Voltage_V
2025-07-24 15:38:49,60.0,N/A,N/A,N/A,N/A,N/A
2025-07-24 15:39:00,90.0,N/A,N/A,N/A,N/A,N/A
